"semantic_id","modality","source_variable_or_term","report_label_cn","scientific_meaning","unit_or_scale","higher_value_meaning","model_sign_interpretation","visual_rule","caveat"
"OUT-Q1","Shared","Q1","注意内容自我报告","四分类名义变量；Q1=1为聚焦当前分类任务的参照类别","category","无连续高低含义","Q1多项逻辑模型中正系数表示预测变量升高时指定类别相对Q1=1的对数优势增大","固定Q1类别顺序；每个对比明确写vs Q1=1","不得把Q1=2/3/4排成单一注意程度连续轴"
"OUT-Q2","Shared","Q2","主观警觉等级","有序主观警觉/困倦等级","ordered category","按正式编码向更高Q2等级移动","有序模型正系数表示预测变量升高与更高Q2编码方向相关","图注必须给出当前编码方向；用零线和95%CI","不得跨模型把Q2系数大小与Q1系数大小比较"
"B-RTLEVEL","Behavior","go_correct_rt_median / go_correct_rt_mean","正确Go反应时水平","反应速度水平","ms","数值更大表示反应更慢","作为预测变量时系数方向按具体Q1/Q2模型解释","报告主图优先使用冻结后的单一RT水平表示；均值/中位数一致性留资格图","均值与中位数高度冗余；不得同时当作两个独立构念"
"B-RTCV","Behavior","rt_cv","反应时变异系数","近期反应稳定性","dimensionless ratio","数值更大表示反应时相对波动更大、稳定性更低","模型系数正负只说明RT-CV与结果变量的统计方向","可用连续轴；必要时标注长尾；不反转成统一注意分数","长尾存在，解释时结合窗口内有效反应数"
"B-RTSLOPE","Behavior","theil_sen_rt_slope","探针前反应时斜率","近期反应速度时间趋势","ms/s","正值表示临近探针时反应逐渐变慢；负值表示逐渐变快","模型正负号叠加在斜率本身方向之上解释","分布图保留0参考线；效应图直接使用原始科学名称","不能把正斜率自动称为注意下降"
"B-OMISSION","Behavior","go_omission_rate","Go遗漏率","Go机会中未作答的比例","proportion","更高表示更多Go遗漏","模型方向按结果变量解释","必须同时保留机会数语义；比例轴0到1或百分比","窗口中大量为0；不得与No-Go误按合并为correct/error总分"
"B-COMMISSION","Behavior","nogo_commission_rate","No-Go误按率","No-Go机会中错误按键比例","proportion","更高表示抑制错误更多","模型方向按结果变量解释","必须标注No-Go机会分母；效应图与遗漏率分开命名","30 s窗口No-Go机会较少，比例呈离散格点"
"B-DPRIME","Behavior","d_prime","辨别力d′","Go/No-Go辨别能力","signal detection index","更高表示辨别力更好","模型系数方向按结果变量解释","保留d′原始方向，不为了统一视觉把符号翻转","与RT/错误率不是同一量尺"
"O-LEVEL","Ocular","ocular__rseg_hard__rgb_nir_qc__level_mean__2s","瞳孔相对面积比例总体水平","hard R_seg在探针前窗口内的总体水平","dimensionless ratio","更高表示瞳孔在瞳孔+虹膜分割区域中的相对面积比例更高","模型方向只说明该测量维度与Q1/Q2等结果的关系","标签必须写相对面积比例或瞳孔水平，不写瞳孔直径","不是瞳孔直径/虹膜直径；不自动等于更高唤醒或更专注"
"O-VAR","Ocular","ocular__rseg_hard__rgb_nir_qc__variability_mad__2s","瞳孔波动MAD","探针前瞳孔相对面积比例的稳健波动","MAD on ratio scale","更高表示窗口内瞳孔比例波动更大","模型方向按具体结果变量解释","与level、slope、curvature使用不同图标/标签而非统一高低方向","MAD为第一轮正式波动表示；SD仅敏感性"
"O-SLOPE","Ocular","ocular__rseg_hard__rgb_nir_qc__linear_slope_per_sec__2s","瞳孔线性变化率","探针前30 s内固定2 s时间箱轨迹的线性趋势","ratio per sec","正值表示随时间接近探针时瞳孔比例线性上升","模型系数方向说明更正/更负的slope与结果变量的关系","必须标注20 s最低真实时间跨度资格；零线可见","低于20 s真实支持的窗口不解释动态趋势"
"O-CURV","Ocular","ocular__rseg_hard__rgb_nir_qc__quadratic_curvature_per_sec2__2s","瞳孔二次曲率","探针前轨迹的二次弯曲成分","ratio per sec^2","正负表示轨迹弯曲方向，不能直接命名为改善/恶化","模型方向按具体结果变量解释","图注说明时间已中心化且为二次项；与线性slope分开","曲率的心理含义依赖轨迹形状，不能单独赋予注意好坏方向"
"O-BLINK","Ocular","ocular__blink_event_rate_per_min__pre30s","眨眼频率","探针前30 s每分钟眨眼事件率","events/min","更高表示近期眨眼更频繁","模型系数方向按Q1/Q2/任务进程解释","与瞳孔四个连续特征并列时必须明确单位不同","RGB来源缺失保持missing，不得当作0次眨眼"
"M-ENERGY","Movement","body_motion_energy_median","整体身体动作强度","RGB窗口内整体身体动作的无量纲相对强度","dimensionless motion energy","更高表示窗口内整体身体动作相对更强","模型方向只说明动作强度与任务/Q1/Q2/行为的关系","报告标签统一写整体身体动作强度；不写速度、位移或真实能量","不是物理能量，也不能自动解释为更分心"
"M-LATERAL","Movement","pose_lateral_right_per_sec_median","横向姿态方向代理","视频坐标中的横向方向变化辅助指标","dimensionless directional proxy","正负仅对应视频坐标方向","仅作为敏感性模型方向解释","正文主图不与M-ENERGY并列为同等级正式构念","不能直接解释为向右移动的物理速度"
"M-VERTICAL","Movement","pose_vertical_up_per_sec_median","纵向姿态方向代理","视频坐标中的纵向方向变化辅助指标","dimensionless directional proxy","正负仅对应视频坐标方向","仅作为敏感性模型方向解释","只在补充敏感性图中使用","不能直接解释为抬头/起身的确定物理动作"
"M-RADIAL","Movement","pose_radial_proximity_direction_score_median","相对径向方向分数","相对靠近/远离趋势的无量纲代理","dimensionless proxy score","正负按producer定义的相对方向","仅作QC/敏感性方向解释","必须带代理/分数字样","不是人与相机真实距离或位移"
"EST-CI","Shared","estimate,se,ci_low,ci_high","估计值与95%置信区间","正式模型参数及其不确定性","model-specific","取决于具体变量和模型","区间不跨0表示当前模型下方向证据较明确；跨0同样必须如实展示","所有系数/差异图画零线和95%CI；不以星号替代区间","不同模型族的estimate绝对值不可直接排序为模态强弱"
