"modality","current_figure_id","current_partition","current_science_role","current_question","report_decision","target_plan_id","report_location","reason"
"Behavior","behavior_rt_level_mean_median_agreement","qualification","qualification","RT均值与中位数是否高度一致","merge","B-R1","5.2 supporting","保留表示资格信息但不单独占一张正文图"
"Behavior","behavior_rt_level_difference_ecdf","qualification","qualification","RT均值减中位数的偏离与尾部如何分布","supplement","B-R1","supplement","与一致性图信息部分重复；正文只在B-R1中保留必要摘要"
"Behavior","behavior_rt_cv_ecdf","qualification","qualification","RT-CV总体分布和长尾如何","merge","B-R1","5.2 supporting","与RT水平和slope共同构成行为测量结构"
"Behavior","behavior_rt_slope_ecdf","qualification","qualification","探针前RT斜率如何分布","merge","B-R1","5.2 supporting","与RT-CV并列展示近期行为动态而非单独放图"
"Behavior","behavior_q1_candidate_coefficients","main","main","行为候选与Q1四分类的关系","redesign_merge","B-R2","5.2 main","保留正式估计与95%CI；与Q2统一报告结构和中文语义"
"Behavior","behavior_q2_candidate_coefficients","main","main","行为候选与Q2有序自评的关系","redesign_merge","B-R2","5.2 main","与Q1合成双面板；避免重复森林图占版面"
"Behavior","behavior_b1_b2_compact_effects","main","main","B2相对B1的行为变化","retain_redesign","B-R3","5.2 main","科学问题独立且已有参与者聚类不确定性；突出稳定性变化"
"Behavior","behavior_candidate_coverage","qc","qc","行为首轮候选覆盖率","table_or_supplement","","5.1/supplement","覆盖率更适合5.1表格；无需正文重复柱状图"
"Ocular","ocular_frozen_feature_coverage","qualification","qualification","五个冻结眼部特征的有效覆盖","table_or_supplement","","5.1/supplement","覆盖率已可由结果表精确表达；不作为5.3主科学图"
"Ocular","ocular_alternative_feature_coverage","sensitivity","sensitivity","替代表示和轨道的覆盖代价","supplement","","supplement","替代表示只承担敏感性和设备组合解释"
"Ocular","ocular_task_progression_coefficients","main","main","冻结眼部指标随任务进程如何变化","redesign_merge","O-R3","5.3 supporting","与近期行为结构共同回答眼部指标的任务关联"
"Ocular","ocular_q1_coefficients","main","main","冻结眼部指标与Q1注意内容的关系","redesign_merge","O-R2","5.3 main","与Q2使用同一变量命名和零线语义"
"Ocular","ocular_q2_coefficients","main","main","冻结眼部指标与Q2警觉等级的关系","redesign_merge","O-R2","5.3 main","与Q1合成双面板避免同构图重复"
"Ocular","ocular_behavior_link_coefficients","main","supporting","眼部指标与近期行为的关系","redesign_merge","O-R3","5.3 supporting/supplement","不作为主观状态主证据；与任务进程放在同一支持性结构"
"Ocular","ocular_missingness_qc","qc","qc","五个冻结眼部特征缺失结构","supplement","","5.1/supplement","缺失分母应写入覆盖表；图保留审计用途"
"Movement","movement_primary_distribution","qualification","qualification","整体身体动作主指标总体分布","supplement","","supplement","正文不需要单独展示无量纲指标的总体直方分布"
"Movement","movement_block_pair_task_progression","main","main","B1/B2配对和区块内任务进程","retain_redesign","M-R1","5.4 main","当前结构已经直接回答任务进程问题；仅统一报告标签和版式"
"Movement","movement_exposure_qc","qc","qc","曝光变化是否提示测量条件问题","supplement","","supplement/QC","属于设备质量而非动作科学结果"
"Movement","movement_pose_direction_distribution","sensitivity","sensitivity","姿态方向代理如何分布","supplement","","supplement","姿态方向只作敏感性辅助"
"Movement","movement_source_coverage","qc","qc","动作来源覆盖率","table_or_supplement","","5.1/supplement","覆盖率更适合5.1表格"
"Movement","movement_task_progression_coefficients","main","supporting","主动作指标任务进程模型系数","supplement","M-R1","supplement","与M-R1中的任务进程信息重复；保留模型审计版本"
"Movement","movement_task_progression_coefficients_pose_sensitivity","sensitivity","sensitivity","姿态方向的任务进程敏感性","supplement","","supplement","不以敏感性显著性升级为正文主图"
"Movement","movement_q1_relationships","main","main","整体身体动作与Q1的关系","redesign_merge","M-R2","5.4 main/supporting","与Q2合并为即时主观状态图"
"Movement","movement_q1_relationships_pose_sensitivity","sensitivity","sensitivity","姿态方向与Q1的关系","supplement","","supplement","姿态不是第一轮正式Movement主指标"
"Movement","movement_q2_relationships","main","main","整体身体动作与Q2的关系","redesign_merge","M-R2","5.4 main/supporting","与Q1合并；明确区间跨0的结果同样保留"
"Movement","movement_q2_relationships_pose_sensitivity","sensitivity","sensitivity","姿态方向与Q2的关系","supplement","","supplement","姿态敏感性不进入主图"
"Movement","movement_behavior_relationships","sensitivity","supporting","整体身体动作与近期行为的关系","supplement","","supplement","当前主要区间跨0且问题次于任务进程/Q1/Q2；保留完整证据"
"Movement","movement_behavior_relationships_pose_sensitivity","sensitivity","sensitivity","姿态方向与近期行为的关系","supplement","","supplement","只作敏感性结果，不进入正文主图"
